Verb|Je|Tu|Il/Elle|Nous|Vous|Ils/Elles
Être|suis|es|est|sommes|êtes|sont
Avoir|ai|as|a|avons|avez|ont
Aller|vais|vas|va|allons|allez|vont
Faire|fais|fais|fait|faisons|faites|font
Dire|dis|dis|dit|disons|dites|disent
Pouvoir|peux|peux|peut|pouvons|pouvez|peuvent
Vouloir|veux|veux|veut|voulons|voulez|veulent
Prendre|prends|prends|prend|prenons|prenez|prennent
Savoir|sais|sais|sait|savons|savez|savent
Venir|viens|viens|vient|venons|venez|viennent
Manger|mange|manges|mange|mangeons|mangez|mangent
Boire|bois|bois|boit|buvons|buvez|boivent
Lire|lis|lis|lit|lisons|lisez|lisent
Écrire|écris|écris|écrit|écrivons|écrivez|écrivent
Voir|vois|vois|voit|voyons|voyez|voient
Entendre|entends|entends|entend|entendons|entendez|entendent
Dormir|dors|dors|dort|dormons|dormez|dorment
Courir|cours|cours|court|courons|courez|courent
Ouvrir|ouvre|ouvres|ouvre|ouvrons|ouvrez|ouvrent
Partir|pars|pars|part|partons|partez|partent
Mettre|mets|mets|met|mettons|mettez|mettent
Sortir|sors|sors|sort|sortons|sortez|sortent
Finir|finis|finis|finit|finissons|finissez|finissent
Attendre|attends|attends|attend|attendons|attendez|attendent
Comprendre|comprends|comprends|comprend|comprenons|comprenez|comprennent
Tenir|tiens|tiens|tient|tenons|tenez|tiennent
Recevoir|reçois|reçois|reçoit|recevons|recevez|reçoivent
Offrir|offre|offres|offre|offrons|offrez|offrent
Vendre|vends|vends|vend|vendons|vendez|vendent
Rire|ris|ris|rit|rions|riez|rient
Connaître|connais|connais|connaît|connaissons|connaissez|connaissent
Devoir|dois|dois|doit|devons|devez|doivent
Rendre|rends|rends|rend|rendons|rendez|rendent
Oublier|oublie|oublies|oublie|oublions|oubliez|oublient
Naître|nais|nais|naît|naissons|naissez|naissent
Entrer|entre|entres|entre|entrons|entrez|entrent
Tomber|tombe|tombes|tombe|tombons|tombez|tombent
Appeler|appelle|appelles|appelle|appelons|appelez|appellent
Gagner|gagne|gagnes|gagne|gagnons|gagnez|gagnent
Monter|monte|montes|monte|montons|montez|montent
Commencer|commence|commences|commence|commençons|commencez|commencent
Ouvrir|ouvre|ouvres|ouvre|ouvrons|ouvrez|ouvrent
Fermer|ferme|fermes|ferme|fermons|fermez|ferment
Jouer|joue|joues|joue|jouons|jouez|jouent
Arriver|arrive|arrives|arrive|arrivons|arrivez|arrivent
Chercher|cherche|cherches|cherche|cherchons|cherchez|cherchent
Trouver|trouve|trouves|trouve|trouvons|trouvez|trouvent
Demander|demande|demandes|demande|demandons|demandez|demandent
Répondre|réponds|réponds|répond|répondons|répondez|répondent
Penser|pense|penses|pense|pensons|pensez|pensent
